Project ID,Voluntary Registry,Voluntary Status,Scope,Type,Country,"Total Credits 
Issued",1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ACR138,ACR,Registered,Transportation,Reduction,United States,12150,0,0,0,0,0,0,0,0,0,0,0,1957,0,0,0,0,0,0,0,-380,10193,-1837,-2260,0,-1818,-4755,0
ACR139,ACR,Registered,Transportation,Reduction,United States,4075,0,0,0,0,0,0,0,0,0,0,0,797,0,0,0,0,0,0,0,-797,3278,-26,-786,-52,-400,0,0
ACR140,ACR,Registered,Transportation,Reduction,United States,11603,0,0,0,0,0,0,0,0,0,0,0,2285,0,0,0,0,0,0,0,0,9318,-3112,-1236,0,-400,-4311,0
ACR141,ACR,Registered,Transportation,Reduction,United States,12112,0,0,0,0,0,0,0,0,0,0,0,2906,0,0,0,0,0,-220,0,0,7983,0,-3546,-2000,-3300,-200,0
ACR142,ACR,Registered,Transportation,Reduction,United States,4084,0,0,0,0,0,0,0,0,0,0,0,355,0,0,0,0,0,0,0,-79,3453,0,-727,-78,-185,-115,0
ACR143,ACR,Registered,Transportation,Reduction,United States,1785,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,-20,1765,0,-409,0,-175,-166,0
ACR144,ACR,Registered,Transportation,Reduction,United States,4185,0,0,0,0,0,0,0,0,0,0,0,942,0,0,0,0,0,0,0,-469,2770,0,-802,0,-144,-832,0
ACR145,ACR,Registered,Transportation,Reduction,United States,5375,0,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0,-351,4376,-648,-1134,0,-200,-1598,0
ACR146,ACR,Registered,Transportation,Reduction,United States,3124,0,0,0,0,0,0,0,0,0,0,0,649,0,0,0,0,0,0,0,-211,2475,0,-1111,0,-284,-568,0
ACR147,ACR,Registered,Transportation,Reduction,United States,7207,0,0,0,0,0,0,0,0,0,0,0,3166,0,0,-300,0,0,-1017,0,0,3094,-902,0,-550,-255,-1236,0
ACR148,ACR,Registered,Transportation,Reduction,United States,9483,0,0,0,0,0,0,0,0,0,0,0,1497,0,0,0,0,0,0,0,-228,7986,-1269,-2079,0,-100,-4043,-1
ACR149,ACR,Registered,Transportation,Reduction,United States,8488,0,0,0,0,0,0,0,0,0,0,0,3125,0,0,-300,0,0,-833,0,0,4254,-883,-1302,0,-374,-3687,0
ACR150,ACR,Registered,Transportation,Reduction,United States,1351,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1345,0,-333,0,-100,0,0
ACR151,ACR,Registered,Transportation,Reduction,United States,28663,0,0,0,0,0,0,0,0,0,0,0,4822,0,0,-2108,-1134,0,-22,-236,-1213,23704,-2580,0,-3217,-11948,-600,-500
ACR152,ACR,Registered,Transportation,Reduction,United States,8165,0,0,0,0,0,0,0,0,0,0,0,1797,0,0,-1200,0,0,0,0,-595,6366,0,-1683,0,-213,-1200,0
ACR153,ACR,Registered,Transportation,Reduction,United States,5583,0,0,0,0,0,0,0,0,0,0,0,502,0,0,0,0,0,0,0,-502,5081,0,0,-967,-100,-430,-69
ACR154,ACR,Registered,Transportation,Reduction,United States,24818,0,0,0,0,0,0,0,0,0,0,0,6772,0,0,0,0,0,0,0,0,15478,0,0,-10094,-4300,-5456,0
ACR155,ACR,Registered,Transportation,Reduction,United States,5329,0,0,0,0,0,0,0,0,0,0,0,1546,0,0,-271,0,-56,-51,0,0,3207,0,-100,-1439,-100,-935,0
ACR156,ACR,Registered,Transportation,Reduction,United States,19418,0,0,0,0,0,0,0,0,0,0,0,7546,0,0,-2315,-51,0,-3235,0,0,9927,0,0,-1246,-865,-1827,0
ACR157,ACR,Registered,Transportation,Reduction,United States,85912,0,0,0,0,0,0,0,0,0,0,0,25757,0,0,-396,-4681,0,-4862,-1263,-715,53189,-10068,-21360,-22430,-1793,-4653,-878
ACR158,ACR,Registered,Transportation,Reduction,United States,3499,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,3315,0,0,0,-862,-2545,0
ACR159,ACR,Registered,Transportation,Reduction,United States,2551,0,0,0,0,0,0,0,0,0,0,0,530,0,0,0,0,0,0,0,-124,2021,0,0,-909,-100,-582,0
ACR160,ACR,Completed,Waste Management,Reduction,United States,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR161,ACR,Completed,Waste Management,Reduction,United States,184632,0,0,0,0,0,0,0,0,0,0,0,184632,0,-56710,-46467,-16823,0,0,0,0,0,0,0,-23622,-10000,0,0
ACR162,ACR,Completed,Industrial Manufacturing,Reduction,United States,439035,0,0,0,0,0,0,0,0,0,300000,137367,-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR163,ACR,Completed,Waste Management,Reduction,United States,115875,0,0,0,0,0,0,0,0,93,697,1502,71017,-28164,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR164,ACR,Completed,Waste Management,Reduction,United States,476553,0,0,0,0,0,0,0,0,0,0,0,0,469053,-82975,-106580,-21496,-13003,-28446,0,0,0,0,-6513,-21284,-17141,-119,-28946
ACR165,ACR,Completed,Industrial Manufacturing,Reduction,Brazil,253991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253991,0,0,-150000,-72991,-3900,-5000,0
ACR166,ACR,Listed,Agriculture,Reduction,United States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR167,ACR,Completed,Chemical Processes,Reduction,United States,125000,0,0,0,0,0,0,125000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR168,ACR,Listed,Forestry & Land Use,Impermanent Removal,United States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR171,ACR,Registered,Agriculture,Reduction,United States,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR177,ACR,Registered,Renewable Energy,Reduction,Brazil,673609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,673609,0,-4000,0,0,-14563,-22503,0
ACR180,ACR,Listed,Household & Community,Reduction,Rwanda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR183,ACR,Completed,Chemical Processes,Reduction,United States,38517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38517,-38514,0,0,-3,0,0,0,0,0
ACR184,ACR,Completed,Chemical Processes,Reduction,United States,249025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249025,-130926,0,0,-116308,0,0,0,0,0
ACR188,ACR,Registered,Transportation,Reduction,United States,23057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16123,-15307,0,0,-37,-4,0,-775,0
ACR191,ACR,Listed,Renewable Energy,Reduction,Brazil,587064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,587064,0
ACR197,ACR,Listed,Forestry & Land Use,Mixed,United States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR204,ACR,Registered,Transportation,Reduction,United States,207509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20752,0,0,0,0,0,0,0,0
ACR205,ACR,Completed,Agriculture,Reduction,United States,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR207,ACR,Registered,Transportation,Reduction,United States,267128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37684,0,0,0,0,0,0,0,0
ACR212,ACR,Registered,Forestry & Land Use,Mixed,United States,1710013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198785,-31100,-65506,533439,601325,-369528,-54646
ACR222,ACR,Registered,Forestry & Land Use,Reduction,United States,166197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39383,-39383,0,0,40615,0,-22216,72029,-10509
ACR223,ACR,Registered,Industrial Manufacturing,Reduction,United States,338531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165754,-2000,-148754,26216,25534,0,-5000
ACR224,ACR,Listed,Renewable Energy,Reduction,Brazil,344550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344550,0
ACR230,ACR,Completed,Agriculture,Reduction,United States,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR261,ACR,Registered,Chemical Processes,Reduction,United States,152040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152040,0,0,0,0,0,0
ACR263,ACR,Registered,Transportation,Reduction,United States,1657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1657,0,-500,-204,-100,-569,0
ACR264,ACR,Registered,Transportation,Reduction,United States,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,-10,-230,0,0,0,0
ACR272,ACR,Registered,Forestry & Land Use,Mixed,United States,411399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175403,-123253,-50,-59,-10947,-27047,0
ACR310,ACR,Registered,Chemical Processes,Reduction,United States,8468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2620,0,-2500,0,0,0,0
ACR348,ACR,Registered,Chemical Processes,Reduction,United States,13399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13399,0,0,-11356,0,0
