Project ID,Registry,Voluntary_Status,Scope,Type,Country,Total_Credits,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ACR143,ACR,Completed,Transportation,Reduction,United States of America,1185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,409,0,175,166,415
ACR144,ACR,Completed,Transportation,Reduction,United States of America,3585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469,473,0,802,0,144,832,865
ACR145,ACR,Completed,Transportation,Reduction,United States of America,5359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351,0,648,1134,0,200,1598,1428
ACR146,ACR,Completed,Transportation,Reduction,United States of America,3124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,0,0,1111,0,284,568,950
ACR147,ACR,Completed,Transportation,Reduction,United States of America,5207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,1017,0,0,947,902,0,550,255,1236,0
ACR148,ACR,Completed,Transportation,Reduction,United States of America,8283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,0,1269,2079,0,100,4043,564
ACR149,ACR,Completed,Transportation,Reduction,United States of America,8488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,833,0,0,1109,883,1302,0,374,3687,0
ACR151,ACR,Completed,Transportation,Reduction,United States of America,24263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2108,1134,0,22,236,1213,137,2580,0,3217,11948,600,1068
ACR152,ACR,Completed,Transportation,Reduction,United States of America,8165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,0,0,0,0,595,2,0,1683,0,213,1200,3272
ACR153,ACR,Completed,Transportation,Reduction,United States of America,4001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502,0,0,0,967,100,430,2002
ACR154,ACR,Completed,Transportation,Reduction,United States of America,22418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2568,0,0,10094,4300,5456,0
ACR155,ACR,Completed,Transportation,Reduction,United States of America,3528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,0,56,51,0,0,576,0,100,1439,100,935,0
ACR156,ACR,Completed,Transportation,Reduction,United States of America,12223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2315,51,0,3235,0,0,1945,0,0,1246,865,1827,739
ACR157,ACR,Completed,Transportation,Reduction,United States of America,81956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396,4681,0,4862,1263,715,6966,10068,21360,22430,1793,4653,2769
ACR158,ACR,Completed,Transportation,Reduction,United States of America,3499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,862,2545,0
ACR159,ACR,Completed,Transportation,Reduction,United States of America,1735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,909,100,582,20
ACR161,ACR,Completed,Waste_Management,Reduction,United States of America,157794,0,0,0,0,0,0,0,0,0,0,0,0,0,56710,46467,16823,0,0,0,0,0,0,0,23622,10000,0,4172
ACR162,ACR,Completed,Industrial_Commercial,Reduction,United States of America,139035,0,0,0,0,0,0,0,0,0,0,1668,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR163,ACR,Completed,Waste_Management,Reduction,United States of America,115875,0,0,0,0,0,0,0,0,407,303,2290,39566,28164,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR164,ACR,Completed,Waste_Management,Reduction,United States of America,334003,0,0,0,0,0,0,0,0,0,0,0,0,7500,82975,106580,21496,13003,28446,0,0,0,0,6513,21284,17141,119,28946
ACR165,ACR,Completed,Industrial_Commercial,Reduction,Brazil,231891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000,72991,3900,5000,0
ACR177,ACR,Completed,Renewable_Energy,Reduction,Brazil,41066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,14563,22503,0
ACR183,ACR,Completed,Chemical_Processes,Reduction,United States of America,38517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38514,0,0,3,0,0,0,0,0
ACR184,ACR,Completed,Chemical_Processes,Reduction,United States of America,247234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130926,0,0,116308,0,0,0,0,0
ACR188,ACR,Completed,Transportation,Reduction,United States of America,23057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22241,0,0,37,4,0,775,0
ACR191,ACR,Registered,Renewable_Energy,Reduction,Brazil,3640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3640
ACR204,ACR,Completed,Transportation,Reduction,United States of America,186757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148118,38639,0,0,0,0,0,0,0
ACR207,ACR,Completed,Transportation,Reduction,United States of America,229444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170321,59123,0,0,0,0,0,0,0
ACR212,ACR,Registered,Forestry_Land_Use,Mixed,United States of America,1025751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31100,65506,147908,228556,369528,183153
ACR222,ACR,Registered,Forestry_Land_Use,Reduction,United States of America,108434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39383,0,0,1919,0,22216,12251,32665
ACR223,ACR,Registered,Industrial_Commercial,Reduction,United States of America,282451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,148754,121027,0,0,10670
ACR263,ACR,Completed,Transportation,Reduction,United States of America,1373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,204,100,569,0
ACR272,ACR,Registered,Forestry_Land_Use,Mixed,United States of America,397852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122500,123253,50,59,124443,27047,500
ACR310,ACR,Completed,Chemical_Processes,Reduction,United States of America,8348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5848,0,2500,0,0,0,0
ACR348,ACR,Completed,Chemical_Processes,Reduction,United States of America,11356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11356,0,0
ACR362,ACR,Completed,Chemical_Processes,Reduction,United States of America,106024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106024,0,0
ACR365,ACR,Completed,Chemical_Processes,Reduction,United States of America,5967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5967,0,0
ACR366,ACR,Completed,Chemical_Processes,Reduction,United States of America,28770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28770,0,0
ACR368,ACR,Registered,Forestry_Land_Use,Mixed,United States of America,90965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13835,19752,7966,49412
ACR369,ACR,Registered,Chemical_Processes,Reduction,United States of America,46333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20700,3656,21977
ACR374,ACR,Registered,Forestry_Land_Use,Mixed,United States of America,148572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000,0,0,0,123572
ACR375,ACR,Registered,Forestry_Land_Use,Mixed,United States of America,183034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61103,69575,26336,26020
ACR376,ACR,Registered,Forestry_Land_Use,Mixed,United States of America,387672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3122,68341,45033,271176
ACR382,ACR,Registered,Industrial_Commercial,Reduction,United States of America,50787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12106,38681
ACR386,ACR,Registered,Forestry_Land_Use,Mixed,United States of America,123324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423,24411,31603,66887
ACR389,ACR,Registered,Forestry_Land_Use,Mixed,United States of America,598154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220227,88515,239795,49617
ACR394,ACR,Registered,Forestry_Land_Use,Mixed,United States of America,23172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15438,0,7734
ACR398,ACR,Registered,Forestry_Land_Use,Mixed,United States of America,288970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26390,97105,38425,127050
ACR408,ACR,Completed,Agriculture,Reduction,United States of America,11295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11295,0,0
ACR411,ACR,Registered,Waste_Management,Reduction,United States of America,149060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36604,0,50086,62370
ACR422,ACR,Registered,Forestry_Land_Use,Mixed,United States of America,11139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11139
ACR424,ACR,Registered,Forestry_Land_Use,Mixed,United States of America,57599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21500,20285,12456,3358
ACR441,ACR,Registered,Forestry_Land_Use,Mixed,United States of America,198823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51608,23874,123341
ACR446,ACR,Completed,Chemical_Processes,Reduction,United States of America,35694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35000,0,694
ACR447,ACR,Completed,Chemical_Processes,Reduction,United States of America,40466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18570,21896
ACR448,ACR,Completed,Chemical_Processes,Reduction,United States of America,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,500
ACR449,ACR,Completed,Chemical_Processes,Reduction,United States of America,33770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14040,19730,0
